ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
PIŠČANČJA KRILA BREZ GSO, SPAR, 500G, IK|piščančja krila 100,00 %.|500g|158,30|9,50 g|2,40 g|0,50 g|0,50 g|0,0 g|18,10 g|0,24 g
PIŠČANČJE PRSI FILE BREZ GSO, SPAR, 500G, IK|piščančja prsa file 100,00 %.|500g|106,00|1,90 g|0,60 g|0,00 g|0,10 g|0,0 g|22,30 g|0,13 g
SLADOLED KOKOS, PAPAJA IN MANGO, PLANICA TROPIC, 1L|MLEKO, MLEČNA MAŠČOBA, sladkor, pripravek papaja 4,00 %, glukozni sirup, sladkor, voda, zgoščena kaša papaje, citronska kislina, barvilo E160a, aroma, gostilo pektin, MLEČNE BELJAKOVINE, pripravek mango 3,30 %, sladkor, glukozni sirup, zgošćen mangov sok, aroma, kislina citronska kislina, barvilo E160a, antioksidant askorbinska kislina, kokosov pripravek 1,60 %, glukozno fruktozni sirup, sladkor, voda, kokosova moka, aroma, stabilizator pektin, gumi iz zrn rožičevca, emulgator E471, stabilizator E410, E412, PRIPRAVEK JOGURT, JOGURT V PRAHU, POSNETO MLEKO V PRAHU, dekstroza, kislina citronska kislina, arome.|1l|202,00|9,80 g|5,20 g|24,80 g|23,40 g|0,0 g|3,50 g|0,08 g
SLADOLED JAGODA, BOROVNICA IN GOZDNI SADEŽI, PLANICA GOZDNA, 1L|MLEKO, pripravek gozdni sadeži 3,30 %, sladkor, robidova kaša 4,00 %, jagodna kaša, malinova kaša, borovničeva kaša, zgoščen sok črnega korena, citronska kislina, modificiran škrob, voda, aroma, jagodni pripravek 3,30 %, sladkor 3,30 %, jagodna kaša in zgoščen sok, barvilo E162, E160b, voda, aroma, borovničev pripravek 2,30 %, sladkor, voda, borovničeva kaša 1,60 %, kislina citronska kislina, barvilo E163, modificiran škrob, zgoščen sok črnega korena, aroma, stabilizator E415, MLEČNA MAŠČOBA, sladkor, MLEČNE BELJAKOVINE, emulgator E471, stabilizator E410, E412, aroma, barvilo E101, E160a, E150a, vanilijev ekstrakt.|1l|207,00|9,90 g|5,60 g|26,60 g|25,60 g|0,0 g|2,90 g|0,13 g
Sadni zamrznjeni desert|metin čaj 87% (voda, meta), pasijonkina kaša 10%, med 3%.|68g|14,00|0,00 g|0,00 g|3,20 g|3,20 g|0,10 g|0,20 g|0,00 g
ZAČINJEN KROMPIRČEK IZ SLADKEGA KROMPIRJA, hitro zamrznjen.|sladki krompir 86 %, sončnično olje, riževa moka, koruzna moka, modificiran škrob, dekstrin, nejodirana sol, sredstvi za vzhajanje: difosfati, natrijevi karbonati, stabilizator: ksantan gumi, začimbni ekstrakti (paprika, kurkuma).|450g|162,00|5,70 g|0,60 g|24,00 g|14,00 g|3,40 g|2,00 g|0,25 g
Fidelini jajčni. Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 75,00 %, JAJCA 15,00 %, voda 10,00 %.|250g|387,00|3,70 g|1,10 g|71,00 g|1,20 g|3,40 g|16,00 g|0,10 g
Rezanci jušni valjani, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 75,00 %, JAJCA 15,00 %, voda 10,00 %.|250g|387,00|3,70 g|1,10 g|71,00 g|1,20 g|3,40 g|16,00 g|0,10 g
Kaša ribana, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI ZDROB DURUM 75,00 %, JAJCA 15,00 %, voda 10,00 %.|500g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Krpice, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,30 %, JAJCA 9,20 %, voda 17,60 %.|250g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Metuljčki jajčni, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,30 %, JAJCA 9,20 %, voda 17,60 %.|500g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Metuljčki mali, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,30 %, JAJCA 9,20 %, voda 17,60 %.|250g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Polži večji, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,30 %, JAJCA 9,20 %, voda 17,60 %.|500g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Polžki jušni drobni. Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,30 %, JAJCA 9,20 %, voda 17,60 %.|250g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Šiiorki rezanci. Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|DURUM ZDROB 75,00 %, JAJCA 15,00 %, voda 10,00 %.|250g|387,00|3,70 g|1,10 g|71,00 g|1,20 g|3,40 g|16,00 g|0,10 g
Zvezdice jušne. Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,30 %, JAJCA 9,20 %, voda 17,60 %.|250g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Rižek jušni, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 75,00 %, JAJCA 15,00 %, voda 10,00 %.|250g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
Vlivanci vodni za prilogo, Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 65,20 %, JAJCA 13,00 %, voda 21,70 %.|500g|387,00|3,70 g|1,10 g|71,00 g|1,20 g|3,40 g|16,00 g|0,10 g
Vlivanci vodni jušni. Sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 65,20 %, JAJCA 13,00 %, voda 21,70 %.|500g|387,00|3,70 g|1,10 g|71,00 g|1,20 g|3,40 g|16,00 g|0,10 g
Bio rezanci polnozrnati, Sušene polnozrnate testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|POLNOZRNATI PŠENIČNI DURUM ZDROB 78,00 %, voda 22,00 %.|250g|345,00|2,60 g|0,60 g|63,00 g|1,60 g|9,50 g|12,00 g|0,10 g
Bio rezanci konopljini, Sušene testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DRUMU ZDROB 72,00 %, konopljina moka 8,00 %, voda 20,00 %.|250g|365,00|2,50 g|0,40 g|67,00 g|2,10 g|8,10 g|15,00 g|0,10 g
Bio rezanci špinačni, Sušene testenine s špinačo, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 73,50 %, voda 24,00 %, špinača v prahu 2,30 %.|250g|341,00|2,10 g|0,50 g|66,00 g|0,80 g|3,40 g|13,00 g|0,10 g
Fidelini kratki, sušene jajčne testenine, ki jih je potrebno termično obdelati po navodilih proizvajalca.|PŠENIČNI DURUM ZDROB 75,00 %, JAJCA 15,00 %, voda 10,00 %.|500g|369,00|2,80 g|0,80 g|69,00 g|1,70 g|3,90 g|15,00 g|0,10 g
BIO KOKOSOV SLADKOR 300 g bio Odlično|kokosov sladkor* 100,00 %, *iz kontrolirane ekološke pridelave.|300g|387,00|0,20 g|0,10 g|96,00 g|90,00 g|1,00 g|0,60 g|0,27 g
Paradižnikova omaka z začimbami|voda, paradižnikov koncentrat 45,00 %, začimbno zelenjavna mešanica (posušene mlete začimbe in zelenjava, sladkor, sol, sredstvo za zgostitev: guar guma, ojačevalec arome: mononatrijev glutamat, sredstvo za uravnavanje kislosti: citronska kislina, barvilo: ekstrakt paprike, aroma) 1,50 %, jedilna sol, začimbe 0,07 %.|570g|40,00|0,20 g|0,10 g|7,50 g|5,20 g|0,90 g|1,50 g|1,10 g
Negazirana osvežilna brezalkoholna pijača brez energijske vrednosti z izvlečkom zelenega čaja in okusom pasijonke. S sladili. Pasterizirana.|voda, izvleček zelenega čaja 0,13 %, kislina: citronska kislina, sok pasijonke iz zgoščenega soka pasijonke 0,10 %, sredstvo za uravnavanje kislosti: natrijevi citrati, arome, antioksidant: askorbinska kislina, sladila: aspartam, acesulfank in sukraloza.|1,5l|1,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,05 g
KNORR KOCKA BIO GOVEJA 60 G|jedilna sol, koruzni škrob, palmina maščoba, maltodekstrin, pražena čebula v prahu 8,60 %, kalijev klorid, trsni sladkor, govedina v prahu 1,90 %, karameliziran sladkorni sirup, začimbe (česen, poper, kurkuma), zelišča (peteršilj, lovorjev list, rožmarin), NARAVNA AROMA (VSEBUJE MLEKO), korenje.|60g|286,00|14,00 g|7,90 g|36,00 g|7,50 g|1,70 g|2,40 g|31,80 g
KNORR KOCKA BIO KOKOŠJA 60 G|jedilna sol, trsni sladkor, palmina maščoba, maltodekstrin, koruzni škrob, kokošje meso 5,30 %, čebula v prahu 3,70 %, kokošja maščoba 2,50 %, naravna aroma, začimbe (poper, kurkuma), zelišča (peteršilj, rožmarin), antioksidant (izvleček rožmarina).|60g|349,00|19,00 g|9,20 g|40,00 g|23,00 g|0,90 g|4,20 g|33,30 g
Rebrasti krompirjev čips s pikantno-kremnim okusom|krompir, sončnično olje, jedilna sol, sladkor, čili v prahu, jalapeno čili v prahu, peteršilj, kremni sir v prahu, čebula v prahu, MLEČNA BELJAKOVINA, kumina v prahu, MLEKO V PRAHU, aroma, ekstrakt kvasa, sredstvo za uravnavanje kislosti: citronska kislina.|110g|533,00|33,00 g|2,70 g|52,00 g|1,60 g|3,40 g|5,40 g|2,00 g
Rebrasti krompirjev čips z okusom smetanaste paprike|krompir, sončnično olje, jedilna sol, sladkor, čebula v prahu, paprika v prahu, kisla smetana v prahu, aroma (vsebuje mlečne izdelke), ekstrakt kvasa, barvilo: železov oksid.|110g|533,00|33,00 g|2,70 g|52,00 g|2,50 g|3,50 g|5,40 g|2,20 g
230|piščančje meso (file) 43,50 %, KRUŠNE DROBTINE, voda, PŠENIČNA MOKA, koruzna moka, sončnično olje, PŠENIČNI GLUTEN, PŠENIČNI ŠKROB, MOKA IZ TRDE PŠENICE, jodirana sol, sol, JAJČNI BELJAK V PRAHU, antioksidant: natrijev askorbat, izvleček rožmarina, sredstva za vzhajanje: difosfati, natrijev bikarbonat.|300g|230,00|12,00 g|1,20 g|17,00 g|0,50 g|0,0 g|13,00 g|1,50 g
SADNI JOGURT KOKOS IN ANANAS|PASTERIZIRANO MLEKO Z 1,3 % MLEČNE MAŠČOBE, sadni pripravek 14 % (sladkor, ananasov sok iz zgošëenega soka 25 %, kokosov napitek v prahu 2,2 % (kokosova tekočina v prahu, maltodekstrin, NATRIJEV KAZEINAT), modificirani škrob, glukozni-fruktozni sirup, koncentrat žafranike, limone, korenja in buč, naravna aroma, gostilo: pektini, sredstvo za uravnavanje kislosti: citronska kislina), jogurtova kultura.|500g|74,00|1,30 g|0,90 g|13,00 g|12,00 g|0,0 g|2,90 g|0,10 g
TWININGS ZELENI ČAJ IN LIMONA - ZELENI ČAJ Z LIMONO|zeleni čaj 61,00 %, naravna aroma 15,00 %, posušena limona 1,00 %, matodekstrin, modificiran koruzni škorb, suhe maline 1,00 %, sol, vitaminsko-mineralni kompleks (l-askorbinska kislina, tokoferil acetat, riboflavin, kalcijev pantotenat, cink, glukonat, piridoksin hidroklorid, folna kislina, cianokobalamin, nikotinamid, natrijev selenit, retinil acetat, holekalciferol), aroma, citronska kislina.|40g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|6,50 g|0,00 g|0,00 g
TWININGS EARL GRAY ČAJ - AROMATIZIRAN ČRNI ČAJ|črni čaj, aroma bergamonta.|50g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
CARNAROLI, NAJBOLJŠI RIŽ ZA RIŽOTE, se ne razkuha.|carnaroli dolgozrnati riž tipa carnaroli.|1kg|348,00|1,60 g|0,50 g|75,90 g|0,50 g|0,70 g|7,20 g|0,00 g
KAVA V KAPSULAH RDEČA - CUBE ILLY 126,7g|kava arabica 100,00 %.|126g|344,00|13,98 g|6,23 g|12,02 g|0,04 g|51,60 g|16,62 g|0,00 g
KAVA V KAPSULAH ZA DOLGO KAVO - CUBE ILLY, 111,6g|kava arabica 100,00 %.|126g|344,00|13,98 g|6,23 g|12,02 g|0,04 g|51,60 g|16,62 g|0,00 g
DATLJI BREZ KOŠČIC|dateljni 100,00 %.|200g|294,00|0,20 g|0,20 g|66,80 g|55,30 g|7,90 g|2,30 g|0,03 g
Kremni izdelek z dodatkom praženih sesekljanih lešnikov.|sladkor, sončnično olje, LEŠNIKI 10,00 %, POSNETO MLEKO V PRAHU 7,50 %, PRAŽENI SESEKLJANI LEŠNIKI 6,00 %, manj masten kakavov prah, rastlinska maščoba (palma, sončnica), SIROTKA V PRAHU, dekstroza, EMULGATOR: SOJIN LECITIN, popolnoma hidrogenirana repična maščoba, arome.|700g|533,00|30,00 g|5,30 g|57,00 g|57,00 g|0,0 g|6,20 g|0,14 g
Diplo detergent za posodo, zelen, 500ml|5-15% anionske površinsko aktivne snovi, 5% amfoterne površinsko aktivne snovi, parfum (Hexyl Cinnamal), konzervans (Methylchloroisothiazolinone, Methylisothiazolinone). Vsebuje Methylchloroisothiazolinone, Methylisothiazolinone. Lahko povzroči alergijski odziv.|0,5l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Diplo detergent za posodo, bel, 500ml|5-15% anionske površinsko aktivne snovi, 5% amfoterne površinsko aktivne snovi, parfum (Hexyl Cinnamal), konzervans (Methylchloroisothiazolinone, Methylisothiazolinone). Vsebuje Methylchloroisothiazolinone, Methylisothiazolinone. Lahko povzroči alergijski odziv.|0,5l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
SLADOLED BANANA, MODRO NEBO, JAGODA IN JOGURT CREMOSA MIX, 1,7L|voda, sladkor, MLEČNE BELJAKOVINE, nehidrogenirana kokosova maščoba, ČOKOLADNO LEŠNIKOVO POLNILO 5,80 %, glukozni sirup, LEŠNIKOVA PASTA 10,00 %, fruktozno-glukozni sirup, manj masten kakav v prahu, ČOKOLADA 1,00 %, SOJIN LECITIN, želirno sredstvo pektin, polnilo gozdni sadeži 5,80 %, modificiran škrob, kislina E330, sredstvo za zgostitev E410, E415, aroma.|1,7l|185,00|7,50 g|6,60 g|27,10 g|24,80 g|0,0 g|2,20 g|0,04 g
SLADOLED VANILIJA, MALAGA, LEŠNIK, ČOKOLADA CREMOSA MIX, 1,7L|voda, sladkor, MLEČNE BELJAKOVINE, nehidrogenirana kokosova maščoba, ČOKOLADNO LEŠNIKOVO POLNILO 11,60 %, glukozni sirup, LEŠNIKOV PRIPRAVEK 1,10 %, fruktozno-glukozni sirup, manj masten kakav v prahu, ČOKOLADA 1,00 %, SOJIN LECITIN, želirno sredstvo pektin, polnilo gozdni sadeži 5,80 %, modificiran škrob, kislina E330, sredstvo za zgostitev E410, E415, aroma, 1,10 %, pripravek vanilija 0,70 %, mleti vanilijevi stroki 1,00 %, modificiran škrob, ekstrakt bourbonske vanilije, barvilo E101, E160a, čokolada v prahu 0,40 %, kakav v prahu, emulgator E471, stabilizator E410, E412.|1,7l|193,00|8,50 g|7,10 g|27,10 g|23,90 g|0,0 g|2,20 g|0,03 g
SLADOLED MAXIM SLANA KARAMELA 4X100 ML|MLEKO, KAKAVOV OBLIV 24,00 %, kokosova maščoba, sladkor, POSNETO MLEKO V PRAHU, kakavov prah min 8,5%, emulgator sojin lecitin, stabilizator E476, smetana, KARAMELNO POLNILO 8,00 %, sladkor, voda, glukozni sirup, POSNETO MLEKO V PRAHU, rastlinska maščoba-palmovo olje, barvilo E150a, modificiran škrob, JEDILNA SOL, emulgator sojin lecitin, sladkor, MLEČNE BELJAKOVINE, DROBLJENI ARAŠIDI 3,00 %, glukozni sirup, emulgator E471, stabilizator E410, E412, barvilo E150a, E160a, arome.|0,4l|349,00|24,60 g|15,20 g|26,20 g|22,50 g|0,0 g|4,60 g|0,13 g
Osvežilna gazirana brezalkoholna pijača iz rastlinskih izvlečkov.|voda, fruktozni-glukozni sirup, ogljikov dioksid, barvilo (e150d), kislina (fosforjeva (v) kislina), naravne arome (vključno z aromo kofeina).|1,8l|45,00|0,00 g|0,00 g|11,20 g|11,20 g|0,0 g|0,00 g|0,00 g
ČOKOLADNI BONBONI PETITS MILK&CREAM COLLECTION, MERCI, 125G|sladkor, kakavovo maslo, POLNO MLEKO V PRAHU, kakavova masa, MLEKO V PRAHU Z VISOKO VSEBNOSTJO MAŠČOBE, rastlinske maščobe (palmova, karitejeva), POSNETO MLEKO V PRAHU, LAKTOZA, dekstroza, TOPLJENO MASLO, PINJENEC V PRAHU, kava, EMULGATOR: LECITINI (SOJA), manj masten kakav, MLETI LEŠNIKI 2,00 %, sol, aroma, kakavovi deli v čokoladnem delu: najmanj 32% v mlečni čokoladi, kakavovi deli v čokoladnem delu: najmanj 32% v smetanovi čokoladi, kakavovi deli v čokoladnem delu: najmanj 45% v mlečni čokoladi.|125g|580,00|39,10 g|23,80 g|48,40 g|47,30 g|0,0 g|7,60 g|0,23 g
ČOKOLADNI BONBONI PETITS CRUNCH COLLECTION, MERCI, 125G|sladkor, kakavovo maslo, POLNO MLEKO V PRAHU, SESEKLJANI MANDLJI 12,20 %, kakavova masa, MLEKO V PRAHU Z VISOKO VSEBNOSTJO MAŠČOBE, MLETI LEŠNIKI 2,90 %, LAKTOZA, POSNETO MLEKO V PRAHU, PINJENEC V PRAHU, PŠENIČNA MOKA, riževa moka, TOPLJENO MASLO, EMULGATOR: LECITINI (SOJA), fruktoza, PŠENIČNE BELJAKOVINE, sol, PŠENIČNI SLAD, palmova maščoba, kakavovi deli v čokoladnem delu: najmanj 28% v beli čokoladi, kakavovi deli v čokoladnem delu: najmanj 32% v mlečni čokoladi, kakavovi deli v čokoladnem delu: najmanj 45% v mlečni čokoladi.|125g|574,00|38,10 g|19,00 g|45,90 g|43,00 g|0,0 g|9,80 g|0,23 g
ČOKOLADNI BONBONI PETITS CHOCOLATE COLLECTION, MERCI, 125G|sladkor, kakavovo maslo, POLNO MLEKO V PRAHU, kakavova masa, MLEKO V PRAHU Z VISOKO VSEBNOSTJO MAŠČOBE, SESEKLJANI MANDLJI 4,20 %, rastlinske maščobe (palmova, karitejeva), POSNETO MLEKO V PRAHU, MLETI LEŠNIKI 1,90 %, LAKTOZA, TOPLJENO MASLO, PINJENEC V PRAHU, PŠENIČNA MOKA, dekstroza, riževa moka, EMULGATOR: LECITINI (SOJA), kava, fruktoza, PŠENIČNE BELJAKOVINE, sol, arome, PŠENIČNI SLAD, kakavovi deli v čokoladnem delu: najmanj 28 % v beli čokoladi, kakavovi deli v čokoladnem delu: najmanj 32 % v mlečni čokoladi, kakavovi deli v čokoladnem delu: najmanj 32 % v smetanovi čokoladi, kakavovi deli v čokoladnem delu: najmanj 45 % v mlečni čokoladi.|125g|574,00|37,80 g|21,40 g|48,90 g|46,90 g|0,0 g|8,40 g|0,24 g
Spar Ajran. Jogurtov napitek na turški način|JOGURT 60%, voda, nejodirana sol.|250g|38,00|2,20 g|1,40 g|2,50 g|2,50 g|0,0 g|2,00 g|0,86 g
Ovseni obročki - ekstrudirani žitni proizvod|POLNOZRNATA OVSENA MOKA 41,00 %, POLNOZRNATA PŠENIČNA MOKA 16,00 %, POLNOZRNATA JEČMENOVA MOKA 13,00 %, invertni sladkorni sirup, riževa moka, sladkor, koruzna moka, karameliziran sladkor, PŠENIČNI ŠKROB, sol, kalcijev karbonat, barvila (izvleček paprike, betakaroten).|175g|385,00|4,40 g|0,70 g|73,00 g|17,00 g|8,10 g|9,60 g|0,88 g
Polnozrnati žitni obročki - ekstrudirani žitni proizvod z nektarjem iz kokosovih cvetov|POLNOZRNATA PŠENIČNA MOKA 28,00 %, koruzna moka 22,00 %, POLNOZRNATA OVSENA MOKA 16,00 %, riževa moka 16,00 %, nektar iz kokosovih cvetov 15,00 %, POLNOZRNATA JEČMENOVA MOKA 3,00 %.|175g|380,00|2,10 g|0,30 g|77,00 g|18,00 g|6,00 g|8,70 g|0,04 g
MINI ROLADE - POLNJEN BISKVIT Z LEŠNIKOVO KREMO 20 % IN KAKAVOVIM OBLIVOM 25 %|sladkor, rastlinske maščobe (palma, sončnica, kokos v spremenljivih deležih), PŠENIČNA MOKA, voda, glukozni sirup, JAJCA V PRAHU, SIROTKA V PRAHU, manjmasten kakavov prah 2,00 %, PŠENIČNI ŠKROB, LEŠNIKI 0,80 %, dekstroza, emulgatorji: moni- in digliceridi maščobnih kislin, poliglicerolni estri maščobnih kislin, sončnični lecitin, sredstvi za vzhajanje: difosfati, natrijevi karbonati, alkohol*, konzervansi: natrijev propionat, kalijev sorbat, sorbinska kislina, jedilna sol, arome, kislina: citronska kislina, antioksidanti: estri askorbinske kisline z maščobnimi kislinami, tokoferoli ( E306, E307), *za večjo trajnost izdelka.|280g|472,00|24,00 g|16,00 g|59,00 g|37,00 g|0,0 g|4,70 g|0,28 g
MINI ROLADE - POLNJEN BISKVIT S KREMO Z OKUSOM VANILIJE 20 % IN KAKAVOVIM OBLIVOM 25 %|sladkor, rastlinske maščobe (palma, sončnica, kokos v spremenljivih deležih), PŠENIČNA MOKA, voda, glukozni sirup, JAJCA V PRAHU, SIROTKA V PRAHU, manj masten kakavov prah 2,00 %, PŠENIČNI ŠKROB, dekstroza, emulgatorji: mono- in digliceridi maščobnih kislin, poliglicerolni estri maščobnih kislin, sončnični lecitini, sredstvi za vzhajanje: difosfati, natrijevi karbonati, alkohol*, konzervansi: natrijev propionat, kalijev sorbat, sorbinska kislina, jedilna sol, arome, stabilizator: poliglicerol poliricinoleat, antioksidanti: estri askorbinske kisline z maščobnimi kislinami, izvleček, bogat s tokoferolom, alfa tokoferol, *za večjo trajnost izdelka.|280g|440,00|22,00 g|15,00 g|56,00 g|38,00 g|0,0 g|4,30 g|0,40 g
BARCAFFE ESPRESSO CREMOSO 250 G VAK|100% mleta pražena kava.|250g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
BARCAFFE ESPRESSO ESPERTO 250 G VAK|100% arabica.|250g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Ajvar domači pekoči|pečena rdeča paprika 92,00 %, sončnično olje, sol, začimbe.|290g|172,00|11,70 g|1,80 g|13,40 g|2,10 g|0,0 g|2,30 g|1,80 g
Meta drobljena|mleta meta.|18g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Koromač zrno|koromač v zrnju.|20g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Pasterizirana mesnina: konzervirano meso|svinjski vrat 86,00 %, voda/led 18,00 %, začimbna mešanica 2,00 %.|1kg|91,00|4,00 g|1,00 g|0,00 g|0,00 g|0,0 g|13,70 g|2,30 g
KROMPIRJEV PRIGRIZEK - PIKANT.|krompir v prahu 52,00 %, sončnično olje, ŠKROB (PŠENICA, krompir), glukozni sirup, naravna aroma, repično olje, emulgator: mono- in digliceridi maščobnih kislin, začimbe, sol, chipotle čili 0,10 %.|170g|488,00|25,00 g|2,40 g|59,00 g|3,60 g|5,00 g|4,60 g|1,50 g
MALINA SADNI NAMAZ|maline, sladkor, gostilo: pektin, antioksidant: askorbinska kislina.|390g|148,00|0,00 g|0,00 g|37,00 g|32,00 g|0,0 g|0,80 g|0,00 g
"JELEN SALAMA
Sušene mesnine"|svinjsko stegno bk 56,00 %, jelenje meso bk 30,00 %, svinjska hrbtna slanina 10,00 %, ZAČIMBE (LAHKO VSEBUJEJO ALERGEN GORČIČNO SEME) 4,00 %.|1kg|387,00|28,00 g|12,00 g|6,10 g|0,10 g|0,0 g|25,00 g|3,70 g
Piščančje hrenovke za pečenje in žar 400g|strojno izkoščičeno piščančje meso 66%, voda, piščančje kožice, krompirjev škrob, grahova moka, vlakna citrusov, jedilna sol, začimbe, stabilizatorji: difosfati, trifosfati, dekstroza, antioksidant: natrijev eritrobat, konzervansa: natrijev nitrit, natrijev acetat.|400g|240,00|19,00 g|8,80 g|1,50 g|0,20 g|0,0 g|14,00 g|2,00 g
Pizza Feliciana s šunko in pestom, globoko zamrznjena.|PŠENIČNA MOKA, voda, SIR TILZIT 10,00 %, ŠUNKA 8,00 %, (svinjsko meso, voda, modificiran škrob, sol, SOJINE BELJAKOVINE, glukoza, sladkor, stabilizatorji (trifosfati, polifosfati, natrijev nitrit), sredstvo za zgoščevanje (karagenan), arome, antioksidant (natrijev askorbat)), češnjev paradižnik, pesto omaka 6,60 %, (voda, repično olje, bazilika, SMETANA, špinača, česen, sol, sladkor, poper, arome), paradižnikov koncentrat 3,40 %, pekovski kvas, palmina maščoba, repično olje, bazilika, sol, sladkor, SUHO PŠENIČNO KISLO TESTO, (PŠENIČNI MLEVSKI IZDELKI, PŠENIČNI SLAD), česen, modificiran škrob, EKSTRAKT JEČMENOVEGA SLADA, emulgator (tartratni moni- in diacetilestri moni- in dogliceridov maščobnih kislin), sredstvo za zgoščevanje (guar gumi), peteršilj, timijan, rožmarin, zelena meta, arome, barvilo (karoteni).|360g|231,00|7,80 g|3,40 g|30,00 g|3,60 g|0,0 g|8,90 g|1,40 g
Pizza Feliciana štirimi siri, globoko zamrznjena.|PŠENIČNA MOKA, voda, SIR MOCARELA 9,00 %, SIR EDAMEC 4,30 %, SIR TILZIR 4,30 %, paradižnikov koncentrat 4,00 %, SMETANA, repično olje, pekovski kvas, SIR Z MODRO PLESNIJO 1,70 %, palmina maščoba, sol, sladkor, SUHO PŠENIČNO KISLO TESTO (PŠENIČNI MLEVSKI IZDELKI, PŠENIČNI SLAD), bazilika, modificirani škrob, EKSTRAKT JEČMENOVEGA SLADA, emulgator (tartratni moni- in diacetilestri moni- in digliceridov maščobnih kislin), sredstvo za zgoščevanje (guar gumi), origano, sredstvo za uravnavanje kislosti (kalcijevi fosfati), poper, peteršilj, modificirani škrob, rožmarin, aroma, barvilo (karoteni).|325g|264,00|9,90 g|5,00 g|33,00 g|3,70 g|0,0 g|10,00 g|1,30 g
"DIVJI PRAŠIČ SUHA KLOBASA
Sušene mesnine"|svinjsko stegno bk 56,00 %, meso divjega prašiča bk 30,00 %, svinjska hrbtna slanina 10,00 %, ZAČIMBE (LAHKO VSEBUJE ALERGEN GORČIČNO SEME) 4,00 %.|1kg|324,00|22,00 g|8,00 g|1,90 g|0,50 g|0,0 g|30,00 g|3,70 g
ARBA MARE HERBAE MARINIRANI FILETI SARDONOV S PROVANSALSKIMI ZELIŠČI|INČUN (ENGRAULIS ENCRASICOLUS), sončnično olje, kis, paprika 5,00 %, črne olive 5,00 %, provansalska zelišča 1,00 %, sol.|160g|180,00|9,42 g|2,68 g|1,96 g|1,60 g|0,0 g|21,39 g|4,92 g
