ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
Pasulj s slanino|voda, beli fižol 33,00 %, koščki prekajene prešane slanine 10% (svinjsko meso, voda, jedilna sol, dekstroza, začimbe, ekstrakti začimb, stabilizator: trifosfati, gostilo karagenan, svinjske beljakovine, antioksidant: natrijev eritorbat, arome, konzervans: natrijev nitrit) 10,00 %, čebula, PŠENIČNA MOKA, paradižnikov koncentrat, začimbe, sončično olje, jedilna sol, ZAČIMBNA MEŠANICA (VSEBUJE ZELENO, OJAČEVALCE AROME: MONONATRIJEV GLUTAMAT, DINATRIJEV INOZINAT; BARVILO: RIBOFLAVINI), naravna aroma.|415g|95,00|4,10 g|1,50 g|11,40 g|2,30 g|0,10 g|6,80 g|0,70 g
Kuhan rjavi fižol v nalivu|fižol, voda, sol, citronska kislina.|850g|92,00|0,50 g|0,10 g|12,10 g|0,60 g|8,80 g|8,50 g|1,10 g
Fini pekovski izdelek. Vafelj izdelek z lešnikovo kremo (81%).|sladkor, rastlinska maščoba (palma, shea), PŠENIČNA MOKA, manjmasten kakavov prah, LEŠNIKI 2,50 %, jedilna sol, sredstvo za uravnavanje kislosti E200, aroma, EMULGATOR SOJIN LECITIN.|750g|565,00|33,80 g|16,20 g|61,90 g|42,60 g|0,0 g|3,20 g|0,15 g
Domači fritati|PŠENIČNA MOKA, JAJCA V PRAHU, SIROTKA V PRAHU, rastlinsko olje, jedilna sol, sredstvo za vzhajanje ( E450, E500).|100g|404,00|6,00 g|2,00 g|72,00 g|4,60 g|0,0 g|15,60 g|1,70 g
SLADOLED JEŽEK 8X70 ML DP|MLEKO, SMETANA ALI MASLO, SOJA, LEŠNIKI.|0,56l|305,00|22,90 g|16,40 g|21,20 g|21,10 g|0,0 g|3,50 g|0,15 g
SLADOLED TOM 8X70 ML DP|POSNETO MLEKO, PINJENEC, SMETANA, MASLO 18,00 %, kakavov obliv (kokosova maščoba, sladkor, kakavov prah min. 7,5 %, dekstroza 18,00 %, EMULGATOR SOJIN LECITIN 9,00 %, stabilizator E476), SLADKOR 2,80 %, sadno polnilo (sladkor, voda, zgoščeni sok rdeče pese, sadje 30 % (kaše in zgoščeni sadni sok ribeza, jagod in jabolk, aroma), kislina citronska kislina, gostilo E466, barvilo E163) 7,00 %, MLEČNE BELJAKOVINE, DROBLJENI LEŠNIKI 2,00 %, emulgator E471, stabilizator (e410, E412, E407), aroma vanilje, barvilo (e101, E160a, E150a).|0,56l|310,00|21,80 g|15,40 g|24,40 g|23,70 g|0,0 g|3,30 g|0,10 g
BIO STROKI BOURBONSKE VANILIJE|bio stroki burbonske vanilije iz ekološke pridelave 100,00 %.|4g|224,00|8,60 g|0,10 g|17,00 g|10,00 g|31,00 g|4,00 g|0,04 g
Testenine z jajci|PŠENIČNI DURUM ZDROB 100,00 %, JAJCA 14,50 %, kurkuma 0,10 %, voda.|400g|377,00|3,00 g|0,81 g|73,00 g|6,20 g|0,0 g|13,60 g|0,00 g
Skuša z zelenjavo v paradižnikovi omaki|SKUŠA (SCOMBER SCOMBRUS ALI SCOMBER JAPONICUS) 51,00 %, omaka (voda, paradižnikov koncentrat, SOJINO OLJE, sladkor, PŠENIČNA MOKA, kuhinjska sol, kis, ZAČIMBE (ZELENA), zelenjava (korenje, paprika).|115g|132,00|5,70 g|1,50 g|4,20 g|3,40 g|0,0 g|16,00 g|0,75 g
MU CUISINE MOZZARELLA RIBANA 330 G|MOZZARELLA 95,00 %, koruzna moka 5,00 %.|330g|293,00|21,00 g|14,30 g|4,70 g|1,00 g|0,0 g|1,20 g|0,00 g
GORČICA|kis, voda, GORČIČNA SEMEA, jedilna sol, sladkor, začimbe, izvleček paprike, LAHKO VSEBUJE MLEKO, JAJCA, ZELENO.|700g|107,00|6,00 g|0,20 g|5,00 g|2,00 g|3,10 g|5,10 g|3,58 g
Kuhan grah v nalivu|grah, voda, sol, citronska kislina.|200g|48,00|0,20 g|0,10 g|7,40 g|2,70 g|2,40 g|2,80 g|0,80 g
Kuhan grah v nalivu|grah, voda, sol, citronska kislina.|415g|48,00|0,20 g|0,10 g|7,40 g|2,70 g|2,40 g|2,80 g|0,80 g
JAJČNE TESTENINE. Sušene jajčne testenine.|PŠENIČNI DURUM ZDROB, JAJCA 13,00 %.|500g|364,00|2,80 g|0,40 g|70,00 g|3,70 g|3,40 g|13,00 g|0,03 g
SESEKLJANA PARADIŽNIKOVA SREDICA|paradižnik 99,80 %, sol.|630g|26,00|0,20 g|0,10 g|3,90 g|2,80 g|0,0 g|1,20 g|0,30 g
Pasiran paradižnik|paradižnik 99,00 %, sol, bazilikan 0,10 %, izvleček bazilike.|400g|36,00|0,30 g|0,10 g|5,10 g|4,50 g|0,0 g|1,60 g|0,65 g
PIJAČA IZ SADJA IN ZELENJAVE, MULTI, YIPPY, RAUCH, 200ML|voda, sladkor, zgoščeni sadni sokovi, citronska kislina, kalcijev citrat, vitamini, aroma.|0,2l|41,00|0,10 g|0,10 g|9,90 g|9,90 g|0,0 g|0,10 g|0,13 g
PIJAČA VEČ VRST SADJA, CHERRY, YIPPY, RAUCH, 200ML|voda, sladkor, zgoščeni sadni sokovi, bananina kaša, citronska kislina, kalcijev citrat, barvila iz sadnih in zelenjavnih izvlečkov, pektin, vitamini, aroma.|0,2l|42,00|0,10 g|0,10 g|9,90 g|9,80 g|0,0 g|0,10 g|0,50 g
ŠPAGETI št. 7. Sušene jajčne testenine.|PŠENIČNI DURUM ZDROB, JAJCA 13,00 %.|500g|364,00|2,80 g|0,40 g|70,00 g|3,70 g|3,40 g|13,00 g|0,03 g
100% SOK LIMONA RAUCH, 1L|limonin sok iz zgoščenega soka, antioksidant: askorbinska kislina.|1l|28,00|0,10 g|0,10 g|2,50 g|2,50 g|0,0 g|0,40 g|0,01 g
PIJAČA POMARANČA, YIPPY, RAUCH, 200ML|voda, sladkor, zgoščeni pomarančni sok, citronska kislina, kalcijev citrat, vitamini, beta karoten, aroma.|0,2l|40,00|0,10 g|0,10 g|9,80 g|9,80 g|0,0 g|0,10 g|0,00 g
PIJAČA BRESKEV, YIPPY, RAUCH, 200ML|voda, zgoščeni sadni sokovi, sladkor, citronska kislina, kalcijev citrat, beta karoten, vitamini, aroma.|0,2l|4,00|0,10 g|0,10 g|9,90 g|9,80 g|0,0 g|0,10 g|0,25 g
Zrnca z okusom čokolade v slamici za pripravo mlečnega napitka.|sladkor, kakav v prahu (8,2%), glukozni sirup, dekstroza, naravna aroma čokolade.|30g|378,00|1,00 g|0,60 g|90,00 g|84,00 g|0,0 g|1,70 g|0,13 g
Jedilni koruzni škrob|koruzni škrob.|200g|355,00|0,00 g|0,00 g|88,00 g|0,00 g|0,0 g|0,00 g|0,05 g
Bio namaz z lešniki in kakavom, brez glutena in laktoze. Iz ekološke pridelave (IT-BIO-006 Kmetijstvo EU/izven EU).|trsni sladkor*, rastlinska olja in maščobe* (sončnica*, kakao*), LEŠNIKI* 14,00 %, manj masten kakav v prahu* 14,00 %, emulgator: lecitini, naravna aroma vanilje*, *iz ekološke pridelave, vsebnost laktoze <0,1g/100g.|200g|520,00|28,00 g|4,90 g|59,00 g|56,00 g|5,80 g|5,50 g|0,01 g
